Greek Word,English Translation,Similar,Example Sentence
ένα,one,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
ότι,that,,"C. Escher"" στις Ηνωμένες Πολιτείες βρήκε εμπόδια, αλλά η Ολλανδική εταιρεία επικράτησε στα δικαστήρια με την αιτιολογία ότι ένας καλλιτέχνης ή οι κληρονόμοι του έχουν δικαίωμα να κατοχυρώσουν το όνομα ως εμπορικό σήμα."
μια,one (feminine),,"Cecylia - przyczynek do genezy apokryfów» («Αγία Σεσίλια - μια συμβολή στη γένεση των αποκρύφων»), που δημοσιεύθηκε το 1922 στο περιοδικό Lud (Λαός)."
στις,at,,"C. Escher"" στις Ηνωμένες Πολιτείες βρήκε εμπόδια, αλλά η Ολλανδική εταιρεία επικράτησε στα δικαστήρια με την αιτιολογία ότι ένας καλλιτέχνης ή οι κληρονόμοι του έχουν δικαίωμα να κατοχυρώσουν το όνομα ως εμπορικό σήμα."
οι,the,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
ή,or,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
στα,at,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
έχει,he/she/it has,,"A. villosula έχει ως ξενιστές Ferula, Malabalia και Zosia."
αλλά,but,,"Belyakova, p. 91 Ήταν ευγενικός και προσεκτικός με την Όλγα, αλλά εκείνη λαχταρούσε αγάπη, κανονικό γάμο και παιδιά."
είχε,he/she/it had,,"J. Norwich, Byzantium: The Decline and Fall, 285 Μέχρι το 1453, ο στρατός της Ρωμανίας είχε πέσει σε μία τακτική φρουρά 1.500 ανδρών στην Κωνσταντινούπολη."
δύο,two,,Carrera 2. Η έκδοση V8 με 265 kW (360 hp) ήταν ακόμη μεγαλύτερη από δύο δέκατα του δευτερολέπτου.
τα,the (plural neutral),,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
επίσης,also,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
ενώ,while,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
οποία,who (feminine),,"Dollhouse είναι μια αμερικάνικη σειρά περιπέτεια φαντασίας, η οποία είναι γραμμένη και σκηνοθετημένη από τον Joss Whedon."
αυτή,this (or she) (feminine),,"Mάλιστα, η λατρεία της περιελάμβανε το όχι σύνηθες έθιμο της θυσίας χοίρων, ένα έθιμο που παρέλαβαν από τη γειτονική πόλη Oνθύριον, όταν αυτή συνοικίστηκε στη Mητρόπολη."
μπορεί,he/she/it can,,"Ακόμα, λίγα είναι γνωστά για τους όρους συντονισμού και τους συμβιβασμούς που μπορεί να υπάρχουν μεταξύ των επιχειρήσεων."
όπου,where,,"Curling StonesΠατρίδα του κέρλινγκ θεωρείται η Σκωτία, όπου μετρά 5 αιώνες συνεχούς παρουσίας."
όπως,such as,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
μία,one (feminine),,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
αυτό,this,,H διαμόρφωση της μύτης τής γραφίδας είναι εξαιρετικής σημασίας και για το σκοπό αυτό γίνεται χρήση μικρής και αιχμηρής λάμας.
έχουν,they have,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
στους,to the,τους,"O ίδιος απολογήθηκε στους θαυμαστές του μ' ένα συγκινητικό γράμμα στα μέσα κοινωνικής δικτύωσης και στην επίσημη ιστοσελίδα του, όπου και εξήγησε τους λόγους που τον οδήγησαν στην απόφασή του."
"πρώτος, πρώτη, πρώτο",first,,"H πρώτη επίσημη καταγραφή του χωριού Βωλάξ, προέρχεται από τα κρατικά έγγραφα της βενετικής διοίκησης του 1618 (ASVe, Duca Di Candia, Busta 92) που βρίσκονται στην Ιταλία."
καθώς,as,,"Exocoetidae, όπως τα Cypselurus, Exocoetus και Evolantia, καθώς και με καλαμάρια."
πιο,more,,"CH 6 OSi, αν και συνήθως παριστάνεται πιο αναλυτικά, με τον ημισυντακτικό της τύπο: CH 3 SiH 3 OH."
έγινε,done,,Claire-Clémence de Maillé-Bréézé (25 Φεβρουαρίου 1628 - 16 Απριλίου 1694) από τον Οίκο του Μαγιέ ήταν κόρη του μαρκήσιου του Μπρεζέ και στρατάρχη της Γαλλίας και με τον γάμο της έγινε πριγκίπισσα του Κονντέ.
τα χρόνια,years,,"Meyer, τ. Β', σ. 312–314 Τρία χρόνια αργότερα, το 1998, κυκλοφόρησε η πρώτη και (εκτός της εργασίας του MGFA) η μοναδική ως τώρα βιογραφία του Λούντβιχ Κύμπλερ, πάλι από τον Ρόλαντ Κάλτενέγκερ."
μέχρι,until,,"The Last Days of Richard III and the Fate of His DNA Δεν δημιουργήθηκε κανένα μνημείο προς τιμή της βασίλισσας Άννας μέχρι το 1960 που η ""Κοινωνία του Ριχάρδου Γ"" ανήγειρε μια στήλη από μπρούτζο στον τάφο της."
προς,to,,H δοτική δηλώνει το πρόσωπο για το οποίο (ή προς το οποίο) γίνεται η πράξη και χρησιμοποιείται μόνο για έμψυχα.
μεταξύ,between,,DH 110 Προενισχυτής με προαιρετικό στάδιο phono DH 112 για κεφαλές κινητού πηνίου και πολλαπλές εισόδους μεταξύ των οποίων και CD.
όταν,when,,"CCAA, Walter Eder, Augustus and the Power of Tradition, 30. Σύμφωνα με τα καθιερωμένα δεν επιτρεπόταν να συνυπάρξουν στο ίδιο πρόσωπο τα αξιώματα του δημάρχου και του τιμητή, αν και ούτε ο ίδιος ο Αύγουστος εκλέχτηκε ποτέ επισήμως τιμητής."
στην,in (or at or on),,"Barber 2012, p. 147. Ο βασιλιάς δέχτηκε την πρόταση και έστειλε τον στρατό του να κυριεύσει το Μπανιάς και με πλεονέκτημα την παρουσία νέων Σταυροφόρων αποφάσισε να επιτεθεί στην Δαμασκό."
ενός,of one,,"Meinrad Archabbey, ενός από τα δύο αρχιαββαεία στις Ηνωμένες Πολιτείες και ένα από τα 11 στον κόσμο."
όμως,nevertheless,,"Αν και τα δείγματα ενυδρείων είναι ευρέως γνωστά για τα λαμπερά τους χρώματα και τα μεγάλα πτερύγια, όπου απαντάται ελεύθερο στη φύση, ο Μονομάχος έχει λιγότερο εντυπωσιακά όμως χρώματα."
οποίο,which,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
η θέση,position,,"Αλλά και οι συμπατριώτες του τον τίμησαν εκλέγοντάς τον δύο φορές στην θέση του Δημάρχου του Μεσολογγίου, από το 1952 έως το 1959."
το μέρος,part,,"The Guardian, Spacewatch, 6 September 2006 Ανακαλύφθηκε όταν είχε μέγεθος περίπου 19, στο λαμπρότερο μέρος της τροχιάς του."
η διάρκεια,duration,,To πρώην Βαυαρικό Κρατικό Κοινοβούλιο στην Prannerstraße είχε υποστεί σοβαρές ζημιές κατά τη διάρκεια του πολέμου.
πολύ,very,,Gupta and Acosta 2004 Οι τιλάπιες είναι πολύ ευαίσθητες σε ασθένειες όπως η περιστροφική ασθένεια και η ιχθυοπάθεια.
η περιοχή,area,,"Tο 2005 η μητροπολιτική περιοχή του Μεξικού είχε πληθυσμό 19,2 εκατομμυρίων, καθιστώντας την τη μεγαλύτερη μητροπολιτική περιοχή στο δυτικό ημισφαίριο και τη δεύτερη μεγαλύτερη στον κόσμο."
μόνο,only,,"Harris 2017, σ. 78 Της δόθηκε πλήρη εκπαίδευση όπως και στις άλλες τρεις αδελφές της, όχι μόνο στο νοικοκυριό, αλλά και στα Λατινικά, σε αρκετές άλλες γλώσσες, στην ιστορία, στη φιλοσοφία και στις κλασικές σπουδές."
η πόλη,city,,Gunnes (1976) p. 331 Μετακίνησε την έδρα του στο Χόλμεν την ανατολική ακτή του Βαγκέν όπου βρισκόταν ο πυρήνας της πόλης αναπτύσσοντας σημαντικά την γραφειοκρατία.
μετά,after,,"Megamix, που εμφανίστηκε μετά το διπλό άλμπουμ του 1995, ήταν καλύτερα, με τον θρύλο του (Μάικλ Τζάκσον) μουσικού χρυσού, ήταν κάπως αδύνατο να δημιουργήσει ένα κακό mix»."
είχαν,they had,,"Galfredus Malaterra; Kenneth Baxter Wolf, The deeds of Count Roger of Calabria and Sicily and of his brother Duke Robert Guiscard (Ann Arbor: University of Michigan Press, 2005), p. 17 Οι Άραβες ηγέτες είχαν γίνει ανεξάρτητοι του σουλτάνου της Τύνιδας."
κάθε,each,,"Αλλά σε αντίθεση με την ιεραρχική, κάθε θυγατρικός κόμβος μπορεί να είναι συνδεδεμένος με πολλαπλούς, ανώτερου επιπέδου, γονικούς κόμβους."
περίπου,about,,PMID 11064774 και περιφερική νευροπάθεια (περίπου 10% των περιπτώσεων).
σε,in,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
η ομάδα,club,,"Αγωνίστηκε για 11 συνεχόμενα χρόνια στην εθνική ομάδα πόλο των Ανδρών με την οποία σημείωσε μεγάλες διακρίσεις, αποτελώντας μέρος μιας χρυσής φουρνιάς παικτών που κυριάρχησαν σε διεθνές επίπεδο μέσα στη δεκαετία του 2000."
στο,in the,,Aραιά διαλύματα NaOH υποκαθιστούν το αλογόνο με υδροξύλιο.
ο αιώνας,century,,"Stove, 260 Ο Βαλάς, γράφοντας στα μέσα του εικοστού αιώνα λέει ότι, η σονάτα αυτή «έγινε το πιο δημοφιλές έργο του Φρανκ και, τουλάχιστον, στη Γαλλία, το πιο γενικώς αποδεκτό έργο σε όλο το ρεπερτόριο της μουσικής δωματίου»."
μαζί,together,,"Everard 2004, σ. 146 Ο Ριχάρδος βάδισε στην Βρετάνη, ελευθέρωσε τον Αρθούρο και τον μετέφερε με ασφάλεια να μεγαλώσει μαζί με τον Λουδοβίκο."
για,for,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
μέσα,inside,,Aλλού σε πλαγιές φαίνονται μέσα σε φαράγγια πεζουλάκια.
το όνομα,name,,"Bede, III, 7. Το Αγγλοσαξωνικό χρονικό αναφέρει οτι παραχώρησε τα εδάφη στο Άσντοοου σε έναν ευγενή με το όνομα Κάθρεντ, αν πραγματικά η ημερομηνία θανάτου του Κάθρεντ ήταν το 661 πιθανότατα να ήταν γιος του Κουίκχελμ αν πραγματικά ήτα γιος του Κίνεγκιλς."
βρίσκεται,is located,,H κερκίδα βρίσκεται στο έξω χείλος του πήχυ και αντιστοιχεί στον αντίχειρα και η ωλένη στο έσω και αντιστοιχεί στο μικρό δάχτυλο του χεριού.
λόγω,due to,,"Ανακαλύφτηκε τον Ιανουάριο του 1820, από μια βρετανική αποστολή με επικεφαλής τον Έντουαρντ Μπράσφιλντ (Edward Bransfield), που της έδωσε το συγκεκριμένο όνομα λόγω των πιγκουίνων που ζούσαν στις ακτές της."
αυτά,"that's all, these",,"J. Ebers Μέχρι τα τέλη της δεκαετίας του 1850, ένα από αυτά χρησιμοποιεί τον όρο «γαλλικές τηγανητές πατάτες»."
η φορά,time,,"Le Chevalier de Maison-Rouge, την οποία, όπως μας εκμυστηρεύεται, είχε ερωτευτεί νέος στην τηλεοπτική μεταφορά του βιβλίου."
πάνω,above,,"Ανίκανη να φροντίσει τον εαυτό της, η Όλγα πήγε να μείνει με δύο Ρώσους φίλους της, τον Κωνσταντίνο και τη Σιναΐδα Μαρτεμιάνοφ, σε ένα διαμέρισμα πάνω από ένα σαλόνι ομορφιάς στην οδό Gerrard Street 716 στο Τορόντο."
πολλά,many,,"Retrieved January 6, 2009 Έχει συνθέσει τη μουσική για πολλά soundtrack."
πολλές,a lot,,"Macdonald Coates & Bishop Σήμερα, ωστόσο, έχει εκριζωθεί από πολλές περιοχές της Παπούα."
με,with,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
οποίος,"any, anyone",οποίο,"Kirby, The Earliest English Kings, p. 81. Σύμμαχος του Πέντα ήταν ο ανιψιός του Οσουί Έθελβαλντ ο οποίος ήταν εκείνη την εποχή βασιλιάς της Ντέιρα, ο Οσουί θεωρούσε την Ντέιρα δικό του βασίλειο και ήθελε τον οποιοδήποτε βασιλιά της χώρας υποτελή του."
η περίοδος,period,,"Michael Idomir Allen (Philadelphia: University of Pennsylvania Press, 1983), σ. 279 Η Φραγκική Ιστορία που έγραψαν την περίοδο 1015-1034 αναφέρει ότι ο Κάρολος ήταν ο νόμιμος βασιλιάς και ο Ούγος Καπέτος ένας σφετεριστής."
κατά,against,,"Breghtmanni (1611), κατά του Τόμας Μπράιτμαν."
πρώτο,first,,"H HNS θεωρεί ότι η ίδρυσή ημερομηνία ίδρυσής της είναι η 13η Ιουνίου του 1912, όταν συστάθηκε το ποδοσφαιρικό τμήμα της Κροατικής Αθλητικής Ομοσπονδίας και ο αρχηγός του, ο Μίλοβαν Ζόριτσιτς, διετέλεσε πρώτος πρόεδρος."
το έργο,work,,"Reed, p. 121 Ο Ελγκαρ, πάντως, ηχογράφησε το έργο για την Εταιρεία Gramophone."
έως,up to,,O τέως πρόεδρος της ΠΕΜΕΝ Γ. Τούσσας είχε αναφέρει πως το Σάμινα δεν διέθετε Πιστοποιητικό Ασφάλειας.
αργότερα,later,,"Darmstadt 2004, S. 1–26, hier: S. 7f Η Χέμμα πέθανε στο Ρέγκενσμπουργκ στα τέλη του Ιανουαρίου του 876, ο Λουδοβίκος ο Γερμανικός πέθανε λίγο αργότερα από ασθένεια στα ανάκτορα του στην Φραγκφούρτη (28 Αυγούστου 876)."
τον,him,,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
την,her,στην,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
ωστόσο,however,,"Macdonald Coates & Bishop Σήμερα, ωστόσο, έχει εκριζωθεί από πολλές περιοχές της Παπούα."
πριν,before,,"Αν και επιτύμβια μνημεία από το χώρο αυτό ήταν γνωστά και πριν από τον Β΄ Παγκόσμιο Πόλεμο, το 1953 ο τότε Έφορος Αρχαιοτήτων Νικόλαος Πλάτων ερεύνησε για πρώτη φορά έναν ύστερο ελληνιστικό τάφο, καθιστώντας σαφές ότι στο χώρο υπήρχε αρχαία νεκρόπολη."
στη,at,στην,"Aphthous- άφθες όπως έλκος εμφανίζεται επίσης σε όρους που αφορούν συστημική ανοσο-απορύθμιση, π.χ. κυκλική ουδετεροπενία και λοίμωξη από τον ιό ανθρώπινης ανοσοανεπάρκειας."
η συνέχεια,continuity,,"Noske, 12 Στη συνέχεια, άρχισε να εκδίδει ψαλμούς, με στόχο να δημοσιεύσει ολόκληρο το Ψαλτήριο του εκκλησιαστικού τυπικού («Ψαλτήριο της Γενεύης»)."
κυρίως,mainly,,"Oι διεθνείς εθελοντές ήταν κυρίως σοσιαλιστές,αναρχικοί,κομμουνιστές,η απλά οι χώρες τους είχαν κομμουνιστικά καθεστώτα."
τα έτη,years,,"Wemple 54–55 Η Ίττα πέθανε περίπου 60 ετών (652), 12 χρόνια μετά τον θάνατο του συζύγου της Πεπίνου."
η ταινία,film,,To 2004 ακολούθησε η ταινία που του χάρισε ακόμα περισσότερη δημοσιότητα σε όλο τον κόσμο.
το αποτέλεσμα,result,,"Αποτελείται από ένα σύνολο συσκευών που, συνεργαζόμενες έχουν ως αποτέλεσμα την καθοδήγηση του οδηγού του οχήματος έτσι, ώστε, μέσω ηλεκτρονικού χάρτη καθοδήγησης να φτάσει στον προορισμό του."
έτσι,so,,"Ακόμα και έτσι πάντως, ο χώρος αποσκευών του XM είχε έναν φυσιολογικό για την κατηγορία E όγκο στα 455 λίτρα, έναντι 500 λίτρων του Peugeot 605."
χωρίς,without,,"Αντ΄ αυτού όμως, το Μάρτιο του 1980 αναχώρησε ως ανθρωπιστικός υπάλληλος της οργάνωσης Γιατροί χωρίς σύνορα στο Κουρδιστάν του Ιράν και ακολούθως στο Ιρακινό Κουρδιστάν."
αυτές,they (feminine),,"Ακόμα και όταν το μεταρρυθμικό πρόγραμμα αποτυγχάνει, είναι σημαντικό οι γυναίκες αυτές να έχουν δικαίωμα στην κυριότητα αυτών των ακινήτων."
οι ομάδες,groups,,"O καρπός φέρει πυκνές ομάδες βεντουζών, σε έξι ή επτά ακανόνιστες, εγκάρσιες σειρές."
άλλες,others,,"Harris 2017, σ. 78 Της δόθηκε πλήρη εκπαίδευση όπως και στις άλλες τρεις αδελφές της, όχι μόνο στο νοικοκυριό, αλλά και στα Λατινικά, σε αρκετές άλλες γλώσσες, στην ιστορία, στη φιλοσοφία και στις κλασικές σπουδές."
έκανε,he/she/it made,,"Robinson 2000, σ. 287 Ο Ερρίκος Δ΄ έκανε ωστόσο κατάσχεση στο δουκάτο και το έδωσε στον γιο του Κορράδο."
η σειρά,series,,"Dollhouse είναι μια αμερικάνικη σειρά περιπέτεια φαντασίας, η οποία είναι γραμμένη και σκηνοθετημένη από τον Joss Whedon."
η χρήση,use,,H διαμόρφωση της μύτης τής γραφίδας είναι εξαιρετικής σημασίας και για το σκοπό αυτό γίνεται χρήση μικρής και αιχμηρής λάμας.
συχνά,often,,"Taraborrelli, p. 20–22 Ο Τζάκσον συχνά χρησιμοποιούσε τέτοιους μεθόδους στα παιδιά του."
άλλα,but,,"Ακόμη, η χώρα έπαιξε σημαντικό ρόλο στην ανάπτυξη της διαδικασίας της ευρωπαϊκής ολοκλήρωσης που άλλαξε την ήπειρο μόνιμα."
υπάρχει,exists,,"Αν συμβαίνει κάτι τέτοιο, τούτη η λέξη θα μπορούσε να υπάρχει σε μια ελληνική διάλεκτο."
πρέπει,must,,Ακολουθεί κι αυτός τα παραδείγματα του αδερφού του μη ξέροντας αν πρέπει ή όχι.
οι φορές,times,,"Αλλά και οι συμπατριώτες του τον τίμησαν εκλέγοντάς τον δύο φορές στην θέση του Δημάρχου του Μεσολογγίου, από το 1952 έως το 1959."
σήμερα,today,,"To 1825 εξέδωσε στη Μαδρίτη το πρώτο μεγάλο διδακτικό του έργο Η Σχολή της Κιθάρας (Escuela de Guitarra), του οποίου σώζονται μέχρι σήμερα 3 αυθεντικά αντίτυπα."
όσο,as much as,,"Folch Ωστόσο, το μέσο μέγεθος της ωοτοκίας είναι 26 αβγά, από 7 διαφορετικά θηλυκά."
"μεγάλος, μεγάλη, μεγάλο","large, big",,"Fine, Late Medieval Balkans, p. 304. Αυτή η ειρηνική αλλαγή ήταν η τελευταία μεγάλη επιτυχία στην εξωτερική πολιτική του Ιβάν-Αλεξάνταρ."
τόσο,such a,όσο,"Folch Ωστόσο, το μέσο μέγεθος της ωοτοκίας είναι 26 αβγά, από 7 διαφορετικά θηλυκά."
ακόμη,yet,,Carrera 2. Η έκδοση V8 με 265 kW (360 hp) ήταν ακόμη μεγαλύτερη από δύο δέκατα του δευτερολέπτου.
ο τίτλος,title,,"Larousse, Paris (επανεκδόθηκε με τον ίδιο τίτλο, Paris: Cantilène, 1986)."
υπάρχουν,there are,,"Ακόμα, λίγα είναι γνωστά για τους όρους συντονισμού και τους συμβιβασμούς που μπορεί να υπάρχουν μεταξύ των επιχειρήσεων."
μέσω,via,,"Here We Go Again κυκλοφόρησε μέσω ψηφιακού αντιγράφου στις 9 Οκτωβρίου 2018 και κυκλοφόρησε σε DVD, Blu-ray και 4K UHD Combo Pack στις 23 Οκτωβρίου 2018."
συνήθως,usually,,"CH 6 OSi, αν και συνήθως παριστάνεται πιο αναλυτικά, με τον ημισυντακτικό της τύπο: CH 3 SiH 3 OH."
όχι,no,,"Harris 2017, σ. 78 Της δόθηκε πλήρη εκπαίδευση όπως και στις άλλες τρεις αδελφές της, όχι μόνο στο νοικοκυριό, αλλά και στα Λατινικά, σε αρκετές άλλες γλώσσες, στην ιστορία, στη φιλοσοφία και στις κλασικές σπουδές."
η μορφή,form,,O Φαυστίνος Faustinus ήταν μία πολιτική μορφή του 3ου αι.
υπό,sub,,"Etude ethno-demographique, sociale, prosopographique et anthroponymique, Jannina 1993 και την υπόλοιπη Ευρώπη (Ιταλία, Γερμανία, Γαλατία, Ισπανία, Βρετανία) Al."
η χώρα,country,,"Kirby, The Earliest English Kings, p. 81. Σύμμαχος του Πέντα ήταν ο ανιψιός του Οσουί Έθελβαλντ ο οποίος ήταν εκείνη την εποχή βασιλιάς της Ντέιρα, ο Οσουί θεωρούσε την Ντέιρα δικό του βασίλειο και ήθελε τον οποιοδήποτε βασιλιά της χώρας υποτελή του."
σύμφωνα,according,,"Ανευρέθη, σύμφωνα με τους ερευνητές, στην υπογενή ζώνη των πολυμεταλλικών φλεβών θειούχων - χαλαζιακών αποθέσεων στο μεταλλείο ""Χριστιάνα"" αριθ."
ίδια,same,,"Kennedy (I), 136 Την ίδια χρονιά δέχτηκε πρόσκληση από το BBC να συνθέσει την πρώτη του όπερα."
ακόμα,still,,To 2004 ακολούθησε η ταινία που του χάρισε ακόμα περισσότερη δημοσιότητα σε όλο τον κόσμο.
το χωριό,village,,"Άλλοι ναοί στο χωριό περιλαμβάνουν τους Άγιος Ραφαήλ, κτισμένο το 2005, και Άγιοι Κωνσταντίνου και Ελένης, κτισμένοι το 2000."
αν,if,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
άρχισε,began,,"Noske, 12 Στη συνέχεια, άρχισε να εκδίδει ψαλμούς, με στόχο να δημοσιεύσει ολόκληρο το Ψαλτήριο του εκκλησιαστικού τυπικού («Ψαλτήριο της Γενεύης»)."
αποτελεί,constitutes,,"Eπίσης αξίζει να δει κανείς το Δημοτικό Σχολείο Βυτίνας, το οποίο αποτελεί ευεργέτημα του Ανδρέα Συγγρού."
αφού,after,,O χιασμός αυτός επιτυγχάνεται με εφίππευση της κερκίδας επί της ωλένης αφού όπως είπαμε μόνο η κερκίδα έχει δυνατότητα στροφής περί τον επιμήκη της άξονα.
οποίες,which,οποίος,"Ακολούθησε η μετά θάνατον δημοσίευση των Ομιλιών του Σατανά το 1998, οι οποίες μάλιστα περιελάμβαναν και ένα πρόλογο από τον τραγουδιστή της rock Marilyn Manson, που ήταν ιερέας στην Εκκλησία."
περισσότερο,more,,"Borchert (2011), 22 Αυτή η νέα ελευθερία στον έλεγχο του φωτός οδήγησε σε περισσότερο ακριβείς και ρεαλιστικές απεικονίσεις των υφών των διαφόρων επιφανειών."
το τμήμα,department,,"H HNS θεωρεί ότι η ίδρυσή ημερομηνία ίδρυσής της είναι η 13η Ιουνίου του 1912, όταν συστάθηκε το ποδοσφαιρικό τμήμα της Κροατικής Αθλητικής Ομοσπονδίας και ο αρχηγός του, ο Μίλοβαν Ζόριτσιτς, διετέλεσε πρώτος πρόεδρος."
τρεις,three,,"Harris 2017, σ. 78 Της δόθηκε πλήρη εκπαίδευση όπως και στις άλλες τρεις αδελφές της, όχι μόνο στο νοικοκυριό, αλλά και στα Λατινικά, σε αρκετές άλλες γλώσσες, στην ιστορία, στη φιλοσοφία και στις κλασικές σπουδές."
άλλη,another,,"Αν τα επίπεδα διδυμίας είναι παράλληλα μεταξύ τους, εμφανίζονται οι λεγόμενοι ""πολυσυνθετικοί δίδυμοι""."
το κέντρο,centre,,"Ακριβώς δίπλα στο κέντρο του Μπουένος Άιρες και τρία χιλιόμετρα μακριά από το Ρίβερ Πλέιτ, αυτή η περιοχή διαφέρει από τα συνηθισμένα πάρκα."
μπορούν,they can,,"Αν και μπορούν να μπουν στο νοσοκομείο, τους λένε πως δε μπορούν να έχουν πρόσβαση στη πτέρυγα Γ, ενώ ο φάρος έχει ήδη ερευνηθεί."
